# 複合語一覧 (3,357 語) — V1_expand_vow: 拡張: slot 2 (V_a) に 'i' 追加 → [o, y, i]
# 形式: [N基] 元語  ->  base1 + base2 + ...

[2基] osheedy  ->  o + sheedy
[2基] osheeky  ->  o + sheeky
[2基] osheeo  ->  o + sheeo
[2基] osheey  ->  o + sheey
[2基] osheo  ->  o + sheo
[4基] osheokaiin  ->  o + s + he + okaiin
[2基] osheol  ->  o + sheol
[2基] oshepols  ->  o + shepols
[2基] oshesy  ->  o + shesy
[2基] oshey  ->  o + shey
[2基] osho  ->  o + sho
[2基] oshodody  ->  o + shodody
[2基] oshol  ->  o + shol
[2基] oshor  ->  o + shor
[4基] oshox  ->  o + s + h + ox
[4基] oshsodaiin  ->  o + s + h + sodaiin
[2基] oshyteed  ->  o + shyteed
[4基] otadar  ->  o + t + a + dar
[4基] otaiikam  ->  o + t + ai + ikam
[4基] otaiilody  ->  o + t + ai + ilody
[4基] otainos  ->  o + t + ain + os
[4基] otaipchy  ->  o + t + a + ipchy
[4基] otaiphy  ->  o + t + aip + hy
[4基] otairar  ->  o + t + a + irar
[4基] otairin  ->  o + t + a + irin
[4基] otairor  ->  o + t + a + iror
[4基] otakar  ->  o + t + a + kar
[4基] otakeol  ->  o + t + a + keol
[4基] otaky  ->  o + t + a + ky
[4基] otala  ->  o + t + a + la
[4基] otalaiin  ->  o + t + a + laiin
[4基] otalain  ->  o + t + a + lain
[4基] otalair  ->  o + t + a + lair
[4基] otalal  ->  o + t + a + lal
[4基] otalalg  ->  o + ta + la + lg
[4基] otalaly  ->  o + t + a + laly
[4基] otalam  ->  o + t + a + lam
[4基] otalar  ->  o + t + a + lar
[4基] otalchal  ->  o + t + a + lchal
[4基] otalchy  ->  o + t + a + lchy
[4基] otald  ->  o + t + a + ld
[4基] otaldal  ->  o + t + a + ldal
[4基] otaldiin  ->  o + t + a + ldiin
[4基] otaldy  ->  o + t + a + ldy
[4基] otalef  ->  o + t + a + lef
[4基] otaleky  ->  o + t + a + leky
[4基] otalkain  ->  o + t + a + lkain
[4基] otalkchy  ->  o + t + a + lkchy
[4基] otalky  ->  o + t + a + lky
[4基] otalod  ->  o + t + a + lod
[4基] otalody  ->  o + t + a + lody
[4基] otalom  ->  o + t + a + lom
[4基] otalor  ->  o + t + a + lor
[4基] otalsar  ->  o + t + a + lsar
[4基] otalshdy  ->  o + t + al + shdy
[4基] otalshedy  ->  o + t + al + shedy
[4基] otalshy  ->  o + t + al + shy
[4基] otaraiin  ->  o + t + a + raiin
[4基] otarain  ->  o + t + a + rain
[4基] otaral  ->  o + t + a + ral
[4基] otaraldy  ->  o + ta + ra + ldy
[4基] otaram  ->  o + t + a + ram
[4基] otaramy  ->  o + t + a + ramy
[4基] otarar  ->  o + t + a + rar
[4基] otararain  ->  o + ta + ra + rain
[4基] otaras  ->  o + t + a + ras
[4基] otaray  ->  o + t + a + ray
[4基] otarcho  ->  o + t + a + rcho
[4基] otarchol  ->  o + t + a + rchol
[4基] otard  ->  o + t + a + rd
[4基] otardaly  ->  o + t + a + rdaly
[4基] otardam  ->  o + t + a + rdam
[4基] otardy  ->  o + t + a + rdy
[4基] otariin  ->  o + t + a + riin
[4基] otariir  ->  o + t + a + riir
[4基] otarody  ->  o + t + a + rody
[4基] otaryly  ->  o + t + a + ryly
[4基] otasam  ->  o + t + a + sam
[4基] otasodlory  ->  o + t + a + sodlory
[4基] otchald  ->  o + t + cha + ld
[4基] otchedey  ->  o + t + che + dey
[4基] otcheochy  ->  o + t + che + ochy
[4基] otcheolom  ->  o + t + che + olom
[4基] otchetchar  ->  o + t + che + tchar
[4基] otcheypchedy  ->  o + t + che + ypchedy
[4基] otchoky  ->  o + t + c + hoky
[4基] otcholcheaiin  ->  o + t + ch + olcheaiin
[4基] otcholchy  ->  o + t + ch + olchy
[4基] otcholocthol  ->  o + t + ch + olocthol
[4基] otchordy  ->  o + t + c + hordy
[4基] otchoshy  ->  o + t + c + hoshy
[4基] otchotor  ->  o + t + c + hotor
[4基] otchoty  ->  o + t + c + hoty
[4基] otchyky  ->  o + t + c + hyky
[4基] otcsdo  ->  o + t + c + sdo
[4基] otcsey  ->  o + t + c + sey
[3基] otdordy  ->  o + t + dordy
[4基] otealchedy  ->  o + t + ea + lchedy
[4基] oteatey  ->  o + t + ea + tey
[4基] otechedy  ->  o + t + e + chedy
[4基] otecheedy  ->  o + t + e + cheedy
[4基] otecheo  ->  o + t + e + cheo
[4基] otechg  ->  o + t + e + chg
[4基] otechodor  ->  o + t + e + chodor
[4基] otechshy  ->  o + t + e + chshy
[4基] otedalol  ->  o + t + eda + lol
[4基] otedchor  ->  o + t + e + dchor
[4基] otedeey  ->  o + t + e + deey
[4基] oteedchey  ->  o + t + ee + dchey
[4基] oteedyg  ->  o + t + ee + dyg
[4基] oteeedchey  ->  o + t + eee + dchey
[4基] oteeg  ->  o + t + ee + g
[4基] oteeolchor  ->  o + t + ee + olchor
[4基] oteeolkeey  ->  o + t + ee + olkeey
[4基] oteesaey  ->  o + t + eesa + ey
[4基] oteeykeey  ->  o + t + ee + ykeey
[4基] oteeykey  ->  o + t + ee + ykey
[4基] oteeykshy  ->  o + t + ee + ykshy
[4基] oteoaldy  ->  o + t + eoa + ldy
[4基] oteoarar  ->  o + t + eoa + rar
[4基] oteochedy  ->  o + t + e + ochedy
[4基] oteochey  ->  o + t + e + ochey
[4基] oteochor  ->  o + t + e + ochor
[4基] oteodched  ->  o + t + e + odched
[4基] oteodchy  ->  o + t + e + odchy
[4基] oteodshey  ->  o + t + e + odshey
[4基] oteoeey  ->  o + t + e + oeey
[4基] oteoefol  ->  o + t + e + oefol
[4基] oteofy  ->  o + t + e + ofy
[4基] oteokeey  ->  o + t + e + okeey
[4基] oteolain  ->  o + t + e + olain
[4基] oteolair  ->  o + t + e + olair
[4基] oteolar  ->  o + t + e + olar
[4基] oteoldy  ->  o + t + e + oldy
[4基] oteorar  ->  o + t + e + orar
[4基] oteorom  ->  o + t + e + orom
[4基] oteosdal  ->  o + t + e + osdal
[4基] oteoshaly  ->  o + t + eo + shaly
[4基] oteoshey  ->  o + t + eo + shey
[4基] oteoteeody  ->  o + t + e + oteeody
[4基] oteoteotsho  ->  o + te + ote + otsho
[4基] oteotey  ->  o + t + e + otey
[4基] oteotor  ->  o + t + e + otor
[4基] otesalod  ->  o + t + esa + lod
[4基] otgoldl  ->  o + t + g + oldl
[3基] otkchedy  ->  o + t + kchedy
[3基] otlchdain  ->  o + t + lchdain
[3基] otleey  ->  o + t + leey
[3基] otochedy  ->  o + t + ochedy
[3基] otochor  ->  o + t + ochor
[4基] otockey  ->  o + t + oc + key
[4基] otodarod  ->  o + t + oda + rod
[3基] otodchy  ->  o + t + odchy
[3基] otodeeeo  ->  o + t + odeeeo
[3基] otodeeodor  ->  o + t + odeeodor
[3基] otoees  ->  o + t + oees
[4基] otoeeseor  ->  o + t + oee + seor
[4基] otoikhy  ->  o + t + oik + hy
[4基] otokaiman  ->  o + t + okaim + an
[3基] otokal  ->  o + t + okal
[3基] otokchey  ->  o + t + okchey
[3基] otokcho  ->  o + t + okcho
[3基] otokeedar  ->  o + t + okeedar
[3基] otokeedy  ->  o + t + okeedy
[3基] otokeoar  ->  o + t + okeoar
[3基] otokol  ->  o + t + okol
[3基] otoky  ->  o + t + oky
[3基] otolaiin  ->  o + t + olaiin
[3基] otolaiino  ->  o + t + olaiino
[3基] otolam  ->  o + t + olam
[4基] otolarol  ->  o + t + ola + rol
[3基] otolchcthy  ->  o + t + olchcthy
[3基] otolchd  ->  o + t + olchd
[3基] otolches  ->  o + t + olches
[3基] otolchey  ->  o + t + olchey
[3基] otoldos  ->  o + t + oldos
[3基] otoldy  ->  o + t + oldy
[3基] otoldyl  ->  o + t + oldyl
[3基] otolfcho  ->  o + t + olfcho
[3基] otolkshy  ->  o + t + olkshy
[3基] otolky  ->  o + t + olky
[3基] otoloaiin  ->  o + t + oloaiin
[4基] otoloaram  ->  o + t + oloa + ram
[3基] otolodal  ->  o + t + olodal
[3基] otolol  ->  o + t + olol
[4基] otololees  ->  o + t + ol + olees
[3基] otolom  ->  o + t + olom
[3基] otolopaiin  ->  o + t + olopaiin
[3基] otolor  ->  o + t + olor
[3基] otolosheey  ->  o + t + olosheey
[3基] otoloty  ->  o + t + oloty
[3基] otolsar  ->  o + t + olsar
[3基] otolsheeos  ->  o + t + olsheeos
[4基] otoltopar  ->  o + t + olt + opar
[3基] otoraiin  ->  o + t + oraiin
[3基] otorain  ->  o + t + orain
[4基] otoralchy  ->  o + t + ora + lchy
[3基] otoram  ->  o + t + oram
[3基] otorar  ->  o + t + orar
[3基] otorchety  ->  o + t + orchety
[3基] otorchy  ->  o + t + orchy
[3基] otoreees  ->  o + t + oreees
[3基] otorkeol  ->  o + t + orkeol
[3基] otorsheey  ->  o + t + orsheey
[3基] otorsheod  ->  o + t + orsheod
[3基] otosey  ->  o + t + osey
[4基] otoshol  ->  o + t + o + shol
[3基] otota  ->  o + t + ota
[3基] ototar  ->  o + t + otar
[3基] otseey  ->  o + t + seey
[4基] otshealkar  ->  o + t + shea + lkar
[3基] otychdy  ->  o + t + ychdy
[3基] otycheedy  ->  o + t + ycheedy
[3基] otychey  ->  o + t + ychey
[3基] otykchs  ->  o + t + ykchs
[3基] otykeey  ->  o + t + ykeey
[3基] otykol  ->  o + t + ykol
[3基] otyky  ->  o + t + yky
[3基] otylal  ->  o + t + ylal
[4基] otyshy  ->  o + t + y + shy
[3基] otytam  ->  o + t + ytam
[3基] otytchol  ->  o + t + ytchol
[3基] otytchy  ->  o + t + ytchy
[3基] otyteeodain  ->  o + t + yteeodain
[4基] oyteiedar  ->  o + y + te + iedar
[3基] padar  ->  p + a + dar
[3基] paichy  ->  p + a + ichy
[4基] paiinody  ->  p + a + iin + ody
[3基] pairain  ->  p + a + irain
[3基] pairar  ->  p + a + irar
[3基] pairody  ->  p + a + irody
[3基] palar  ->  p + a + lar
[3基] palchar  ->  p + a + lchar
[3基] palchd  ->  p + a + lchd
[3基] palkeedy  ->  p + a + lkeedy
[4基] palshsar  ->  p + a + l + shsar
[4基] paradam  ->  p + a + ra + dam
[3基] parair  ->  p + a + rair
[3基] parar  ->  p + a + rar
[3基] parchdy  ->  p + a + rchdy
[3基] pardy  ->  p + a + rdy
[3基] parody  ->  p + a + rody
[3基] paroiin  ->  p + a + roiin
[4基] pchafdan  ->  p + c + ha + fdan
[4基] pchallarar  ->  p + cha + lla + rar
[4基] pcharalor  ->  p + cha + ra + lor
[4基] pcharasy  ->  p + c + ha + rasy
[4基] pchdairor  ->  p + c + hda + iror
[4基] pchdarody  ->  p + c + hda + rody
[3基] pchdeedy  ->  p + c + hdeedy
[3基] pchdlar  ->  p + c + hdlar
[4基] pchecfhey  ->  p + c + he + cfhey
[4基] pchedchdy  ->  p + c + he + dchdy
[4基] pchedeey  ->  p + c + he + deey
[4基] pchedey  ->  p + c + he + dey
[4基] pcheockhy  ->  p + c + he + ockhy
[4基] pcheocphy  ->  p + c + he + ocphy
[4基] pcheodchy  ->  p + c + he + odchy
[4基] pcheoepchy  ->  p + che + oe + pchy
[4基] pcheokeey  ->  p + c + he + okeey
[4基] pcheoldom  ->  p + c + he + oldom
[4基] pcheolkal  ->  p + c + he + olkal
[4基] pchesfchy  ->  p + c + he + sfchy
[3基] pchocthy  ->  p + c + hocthy
[4基] pchocty  ->  p + c + hoc + ty
[3基] pchoetal  ->  p + c + hoetal
[3基] pchofar  ->  p + c + hofar
[4基] pchofychy  ->  p + c + hof + ychy
[4基] pcholkal  ->  p + c + h + olkal
[4基] pcholkchdy  ->  p + c + h + olkchdy
[4基] pcholkeedy  ->  p + c + h + olkeedy
[4基] pcholky  ->  p + c + h + olky
[3基] pcholor  ->  p + c + holor
[3基] pchoraiin  ->  p + c + horaiin
[3基] pchoror  ->  p + c + horor
[3基] pchotchy  ->  p + c + hotchy
[4基] pchsed  ->  p + c + h + sed
[4基] pchsodar  ->  p + c + h + sodar
[3基] pchtchdy  ->  p + c + htchdy
[3基] pchykar  ->  p + c + hykar
[4基] pdalshor  ->  p + d + al + shor
[4基] pdrairdy  ->  p + d + ra + irdy
[2基] pdsairy  ->  p + dsairy
[2基] pdsheody  ->  p + dsheody
[2基] pdychoiin  ->  p + dychoiin
[4基] poalosy  ->  p + o + a + losy
[4基] poalshsal  ->  p + o + al + shsal
[4基] poaral  ->  p + o + a + ral
[2基] pochaiin  ->  p + ochaiin
[4基] pocharal  ->  p + o + cha + ral
[2基] pochedy  ->  p + ochedy
[2基] pocheody  ->  p + ocheody
[2基] pochey  ->  p + ochey
[2基] pochor  ->  p + ochor
[4基] podairol  ->  p + o + da + irol
[4基] podaroar  ->  p + o + da + roar
[2基] podchey  ->  p + odchey
[2基] podeesho  ->  p + odeesho
[2基] podkor  ->  p + odkor
[2基] podshedy  ->  p + odshedy
[2基] poedair  ->  p + oedair
[2基] poeeaiin  ->  p + oeeaiin
[2基] poeear  ->  p + oeear
[2基] poeeas  ->  p + oeeas
[2基] poeeo  ->  p + oeeo
[4基] poeokeey  ->  p + o + e + okeey
[4基] pofochey  ->  p + o + f + ochey
[2基] pokain  ->  p + okain
[2基] pokar  ->  p + okar
[2基] pokeey  ->  p + okeey
[2基] polaiin  ->  p + olaiin
[2基] polairy  ->  p + olairy
[2基] polal  ->  p + olal
[4基] polalchdy  ->  p + o + la + lchdy
[4基] polanar  ->  p + o + lan + ar
[2基] polar  ->  p + olar
[4基] polarar  ->  p + o + la + rar
[2基] polchal  ->  p + olchal
[2基] polchdy  ->  p + olchdy
[2基] polchechy  ->  p + olchechy
[2基] polched  ->  p + olched
[2基] polchedy  ->  p + olchedy
[4基] polcheolkain  ->  p + o + lche + olkain
[2基] polchey  ->  p + olchey
[2基] polchls  ->  p + olchls
[2基] polchs  ->  p + olchs
[2基] polchy  ->  p + olchy
[2基] poldaiin  ->  p + oldaiin
[4基] poldaky  ->  p + o + lda + ky
[2基] poldchody  ->  p + oldchody
[2基] poldshedy  ->  p + oldshedy
[2基] poldy  ->  p + oldy
[4基] poleedaran  ->  p + o + leeda + ran
[2基] poleeol  ->  p + oleeol
[2基] polkchy  ->  p + olkchy
[2基] polkeedal  ->  p + olkeedal
[2基] polkeeey  ->  p + olkeeey
[2基] polkeeo  ->  p + olkeeo
[2基] polkeey  ->  p + olkeey
[2基] polkiin  ->  p + olkiin
[2基] polky  ->  p + olky
[2基] polor  ->  p + olor
[2基] polsaisy  ->  p + olsaisy
[2基] polshdal  ->  p + olshdal
[2基] polshdy  ->  p + olshdy
[2基] polshol  ->  p + olshol
[2基] polshor  ->  p + olshor
[2基] polshy  ->  p + olshy
[2基] polteshol  ->  p + olteshol
[2基] polyshy  ->  p + olyshy
[4基] poraiiindy  ->  p + o + raiiin + dy
[2基] poraiin  ->  p + oraiin
[2基] porain  ->  p + orain
[2基] porair  ->  p + orair
[2基] poral  ->  p + oral
[2基] porar  ->  p + orar
[4基] porarchy  ->  p + o + ra + rchy
[2基] porchey  ->  p + orchey
[2基] porechol  ->  p + orechol
[2基] porol  ->  p + orol
[2基] poror  ->  p + oror
[2基] pororaiin  ->  p + ororaiin
[2基] porory  ->  p + orory
[2基] porshols  ->  p + orshols
[4基] posalshy  ->  p + o + sal + shy
[3基] posheor  ->  p + o + sheor
[3基] posheos  ->  p + o + sheos
[3基] poshody  ->  p + o + shody
[3基] poshol  ->  p + o + shol
[2基] possheody  ->  p + ossheody
[4基] potchokar  ->  p + o + tc + hokar
[2基] potol  ->  p + otol
[2基] potoy  ->  p + otoy
[4基] psalar  ->  p + s + a + lar
[2基] pschedal  ->  p + schedal
[4基] psheodshy  ->  p + s + he + odshy
[4基] psheoepoain  ->  p + she + oe + poain
[4基] psheoky  ->  p + s + he + oky
[4基] psheoldy  ->  p + s + he + oldy
[4基] pshodalos  ->  p + s + hoda + los
[2基] pshorol  ->  p + shorol
[2基] pychal  ->  p + ychal
[2基] pychdar  ->  p + ychdar
[2基] pychory  ->  p + ychory
[4基] pydaeey  ->  p + y + da + eey
[2基] pydchdom  ->  p + ydchdom
[2基] pydeey  ->  p + ydeey
[2基] pykedy  ->  p + ykedy
[2基] pykeor  ->  p + ykeor
[2基] pykydal  ->  p + ykydal
[2基] pyoaly  ->  p + yoaly
[4基] pysaiinor  ->  p + y + saiin + or
[3基] qaear  ->  q + a + ear
[3基] qairal  ->  q + a + iral
[3基] qakar  ->  q + a + kar
[3基] qaloin  ->  q + a + loin
[4基] qckhhy  ->  q + ck + h + hy
[4基] qcphhedy  ->  q + cp + h + hedy
[4基] qcphhy  ->  q + cp + h + hy
[4基] qcthhy  ->  q + ct + h + hy
[4基] qeedeey  ->  q + e + e + deey
[3基] qeeeear  ->  q + e + eeear
[3基] qekchdy  ->  q + e + kchdy
[3基] qekchy  ->  q + e + kchy
[3基] qekedy  ->  q + e + kedy
[3基] qekeeey  ->  q + e + keeey
[3基] qekeey  ->  q + e + keey
[4基] qekeochor  ->  q + e + ke + ochor
[3基] qekeody  ->  q + e + keody
[4基] qekeoldy  ->  q + e + ke + oldy
[3基] qekeor  ->  q + e + keor
[3基] qekey  ->  q + e + key
[4基] qeokehy  ->  q + e + oke + hy
[3基] qeokeody  ->  q + e + okeody
[3基] qeoodaiin  ->  q + e + oodaiin
[3基] qepchedy  ->  q + e + pchedy
[3基] qepchey  ->  q + e + pchey
[4基] qepoepy  ->  q + e + p + oepy
[3基] qetchar  ->  q + e + tchar
[3基] qetchdy  ->  q + e + tchdy
[3基] qetedy  ->  q + e + tedy
[3基] qeykeey  ->  q + e + ykeey
[3基] qkhey  ->  q + k + hey
[3基] qkhol  ->  q + k + hol
[3基] qkholdy  ->  q + k + holdy
[3基] qkoldy  ->  q + k + oldy
[2基] qlky  ->  q + lky
[4基] qoaikhy  ->  q + o + aik + hy
[4基] qochecthm  ->  q + o + che + cthm
[4基] qocheoty  ->  q + o + che + oty
[4基] qochoithy  ->  q + o + choit + hy
[4基] qockhhdy  ->  q + o + ckh + hdy
[4基] qockhhy  ->  q + o + ckh + hy
[4基] qocky  ->  q + o + c + ky
[4基] qocpheeckhy  ->  q + o + cphee + ckhy
[4基] qocseedy  ->  q + o + c + seedy
[4基] qoctaiin  ->  q + o + c + taiin
[4基] qoctchey  ->  q + o + c + tchey
[4基] qodaiikhy  ->  q + o + daiik + hy
[2基] qodykey  ->  q + odykey
[4基] qoedeey  ->  q + o + e + deey
[4基] qoeeckhy  ->  q + o + ee + ckhy
[4基] qoeedeody  ->  q + o + ee + deody
[4基] qoeeeety  ->  q + o + e + eeety
[4基] qoeeeey  ->  q + o + e + eeey
[4基] qoeekeedy  ->  q + o + ee + keedy
[4基] qoeeokaiin  ->  q + o + ee + okaiin
[4基] qoekchar  ->  q + o + e + kchar
[4基] qoekchy  ->  q + o + e + kchy
[4基] qoekedy  ->  q + o + e + kedy
[4基] qoekeey  ->  q + o + e + keey
[4基] qoekeeykeody  ->  q + oe + kee + ykeody
[4基] qoekeol  ->  q + o + e + keol
[4基] qoekeor  ->  q + o + e + keor
[4基] qoekshg  ->  q + o + e + kshg
[4基] qoepchy  ->  q + o + e + pchy
[4基] qoepsheody  ->  q + o + e + psheody
[4基] qoesedy  ->  q + o + e + sedy
[4基] qoete  ->  q + o + e + te
[4基] qoeteey  ->  q + o + e + teey
[4基] qofockhdy  ->  q + o + f + ockhdy
[4基] qoforom  ->  q + o + f + orom
[4基] qoiheey  ->  q + o + i + heey
[2基] qoikeey  ->  q + oikeey
[2基] qoirain  ->  q + oirain
[2基] qoisol  ->  q + oisol
[4基] qokaekeeey  ->  q + oka + e + keeey
[4基] qokaiinos  ->  q + o + kaiin + os
[4基] qokairolchdy  ->  q + o + kair + olchdy
[4基] qokairor  ->  q + o + ka + iror
[4基] qokalaiin  ->  q + o + ka + laiin
[4基] qokalam  ->  q + o + ka + lam
[4基] qokalar  ->  q + o + ka + lar
[4基] qokalchal  ->  q + o + ka + lchal
[4基] qokalchar  ->  q + o + ka + lchar
[4基] qokalchdy  ->  q + o + ka + lchdy
[4基] qokalcheol  ->  q + o + ka + lcheol
[4基] qokalchey  ->  q + o + ka + lchey
[4基] qokaldar  ->  q + o + ka + ldar
[4基] qokaldy  ->  q + o + ka + ldy
[4基] qokalol  ->  q + o + ka + lol
[4基] qokalom  ->  q + o + ka + lom
[4基] qokalor  ->  q + o + ka + lor
[4基] qokaloro  ->  q + o + ka + loro
[4基] qokalos  ->  q + o + ka + los
[4基] qokalsh  ->  q + o + kal + sh
[4基] qokalshedy  ->  q + o + kal + shedy
[4基] qokamdy  ->  q + o + kam + dy
[4基] qokaoy  ->  q + o + ka + oy
[4基] qokaram  ->  q + o + ka + ram
[4基] qokarary  ->  q + o + ka + rary
[4基] qokchkeey  ->  q + o + kc + hkeey
[4基] qokchocthor  ->  q + o + kc + hocthor
[4基] qokchyky  ->  q + o + kc + hyky
[4基] qokealdy  ->  q + o + kea + ldy
[4基] qokechchy  ->  q + o + ke + chchy
[4基] qokechckhy  ->  q + o + ke + chckhy
[4基] qokechedy  ->  q + o + ke + chedy
[4基] qokecheos  ->  q + o + ke + cheos
[4基] qokechey  ->  q + o + ke + chey
[4基] qokededy  ->  q + o + ke + dedy
[4基] qokeeashdy  ->  q + o + keea + shdy
[4基] qokeechey  ->  q + o + kee + chey
[4基] qokeeokain  ->  q + o + kee + okain
[4基] qokeeoky  ->  q + o + kee + oky
[4基] qokeeolchey  ->  q + o + kee + olchey
[4基] qokeg  ->  q + o + ke + g
[4基] qokehdy  ->  q + o + ke + hdy
[4基] qokeochy  ->  q + o + ke + ochy
[4基] qokeoefy  ->  q + o + ke + oefy
[4基] qokeog  ->  q + o + ke + og
[4基] qokeokedy  ->  q + o + ke + okedy
[4基] qokeshe  ->  q + o + ke + she
[4基] qokeshedy  ->  q + o + ke + shedy
[4基] qokeshey  ->  q + o + ke + shey
[4基] qokhy  ->  q + o + k + hy
[4基] qokiiiody  ->  q + o + kii + iody
[4基] qoklcheey  ->  q + o + k + lcheey
[4基] qokochy  ->  q + o + k + ochy
[4基] qokoeey  ->  q + o + k + oeey
[4基] qokokchy  ->  q + o + k + okchy
[4基] qokokil  ->  q + o + k + okil
[4基] qokolchedy  ->  q + o + k + olchedy
[4基] qokolchey  ->  q + o + k + olchey
[4基] qokold  ->  q + o + k + old
[4基] qokoldy  ->  q + o + k + oldy
[4基] qokolkain  ->  q + o + k + olkain
[4基] qokolkchdy  ->  q + o + k + olkchdy
[4基] qokolky  ->  q + o + k + olky
[4基] qokololal  ->  q + o + k + ololal
[4基] qokopy  ->  q + o + k + opy
[4基] qokoral  ->  q + o + k + oral
[4基] qokorar  ->  q + o + k + orar
[4基] qokoror  ->  q + o + k + oror
[4基] qokychdy  ->  q + o + k + ychdy
[4基] qokylddy  ->  q + o + k + ylddy
[2基] qolchdy  ->  q + olchdy
[2基] qolchedy  ->  q + olchedy
[2基] qolcheedy  ->  q + olcheedy
[2基] qolcheey  ->  q + olcheey
[2基] qolcheol  ->  q + olcheol
[2基] qolcheor  ->  q + olcheor
[2基] qolchey  ->  q + olchey
[2基] qolchy  ->  q + olchy
[4基] qoleechedy  ->  q + o + lee + chedy
[2基] qolkaiin  ->  q + olkaiin
[2基] qolkain  ->  q + olkain
[2基] qolkary  ->  q + olkary
[2基] qolkchy  ->  q + olkchy
[2基] qolkedy  ->  q + olkedy
[2基] qolkeedy  ->  q + olkeedy
[2基] qolkeeey  ->  q + olkeeey
[2基] qolkeey  ->  q + olkeey
[2基] qolkeshdy  ->  q + olkeshdy
[2基] qolkey  ->  q + olkey
[2基] qolkshey  ->  q + olkshey
[2基] qolky  ->  q + olky
[2基] qolshdy  ->  q + olshdy
[2基] qolshedy  ->  q + olshedy
[2基] qolsheedy  ->  q + olsheedy
[2基] qolsheey  ->  q + olsheey
[2基] qolshey  ->  q + olshey
[2基] qolshy  ->  q + olshy
[2基] qoltedy  ->  q + oltedy
[2基] qolteedy  ->  q + olteedy
[2基] qoochey  ->  q + oochey
[2基] qoochy  ->  q + oochy
[2基] qooeel  ->  q + ooeel
[2基] qooko  ->  q + ooko
[2基] qooldy  ->  q + ooldy
[3基] qoolkaiin  ->  q + o + olkaiin
[3基] qoolkal  ->  q + o + olkal
[3基] qoolkeedy  ->  q + o + olkeedy
[3基] qoolkeey  ->  q + o + olkeey
[2基] qoorar  ->  q + oorar
[2基] qooto  ->  q + ooto
[4基] qopairam  ->  q + o + pa + iram
[4基] qopalor  ->  q + o + pa + lor
[4基] qoparaiin  ->  q + o + pa + raiin
[4基] qopchypcho  ->  q + o + pc + hypcho
[4基] qopoeey  ->  q + o + p + oeey
[4基] qopolkain  ->  q + o + p + olkain
[2基] qoqokeey  ->  q + oqokeey
[2基] qoscheody  ->  q + oscheody
[2基] qoschodam  ->  q + oschodam
[2基] qoseey  ->  q + oseey
[4基] qosheckhhy  ->  qo + she + ckh + hy
[3基] qoshocphy  ->  q + o + shocphy
[4基] qotaiior  ->  q + o + tai + ior
[4基] qotalal  ->  q + o + ta + lal
[4基] qotalchedy  ->  q + o + ta + lchedy
[4基] qotaldy  ->  q + o + ta + ldy
[4基] qotalody  ->  q + o + ta + lody
[4基] qotalom  ->  q + o + ta + lom
[4基] qotalshy  ->  q + o + tal + shy
[4基] qotardy  ->  q + o + ta + rdy
[4基] qotcholm  ->  q + o + tc + holm
[4基] qotchoraiin  ->  q + o + tc + horaiin
[4基] qotchotchy  ->  q + o + tc + hotchy
[4基] qotchytor  ->  q + o + tc + hytor
[4基] qotdcty  ->  q + ot + dc + ty
[4基] qotddyar  ->  q + o + t + ddyar
[4基] qotecheor  ->  q + o + te + cheor
[4基] qotechoep  ->  q + o + tec + hoep
[4基] qotedshedy  ->  q + o + te + dshedy
[4基] qoteeotchy  ->  q + o + tee + otchy
[4基] qoteode  ->  q + o + te + ode
[4基] qoteold  ->  q + o + te + old
[4基] qoteotor  ->  q + o + te + otor
[4基] qoteytyqoky  ->  q + o + teyt + yqoky
[4基] qotlolkal  ->  q + o + tl + olkal
[4基] qotocthey  ->  q + o + t + octhey
[4基] qotoear  ->  q + o + t + oear
[4基] qotoees  ->  q + o + t + oees
[4基] qotoeetchy  ->  q + ot + oee + tchy
[4基] qotoeey  ->  q + o + t + oeey
[4基] qotohy  ->  q + o + t + ohy
[4基] qotokody  ->  q + o + t + okody
[4基] qotoky  ->  q + o + t + oky
[4基] qotolaiin  ->  q + o + t + olaiin
[4基] qotolchd  ->  q + o + t + olchd
[4基] qotolcheo  ->  q + o + t + olcheo
[4基] qotolchy  ->  q + o + t + olchy
[4基] qotoldy  ->  q + o + t + oldy
[4基] qotolol  ->  q + o + t + olol
[4基] qotomody  ->  q + o + tom + ody
[4基] qototeeey  ->  q + o + t + oteeey
[4基] qotyshey  ->  q + o + ty + shey
[2基] qoykeeey  ->  q + oykeeey
[2基] qoykeey  ->  q + oykeey
[2基] qoyky  ->  q + oyky
[2基] qoypchol  ->  q + oypchol
[3基] qsolkeedy  ->  q + s + olkeedy
[2基] qyoeey  ->  q + yoeey
[3基] raify  ->  r + a + ify
[3基] raikchy  ->  r + a + ikchy
[4基] rainal  ->  r + a + in + al
[4基] raithty  ->  r + a + it + hty
[4基] raithy  ->  r + a + it + hy
[3基] raity  ->  r + a + ity
[3基] rakain  ->  r + a + kain
[3基] ralchl  ->  r + a + lchl
[3基] ralchs  ->  r + a + lchs
[3基] ralchy  ->  r + a + lchy
[3基] raldl  ->  r + a + ldl
[3基] raldy  ->  r + a + ldy
[3基] ralkchedy  ->  r + a + lkchedy
[3基] ralky  ->  r + a + lky
[3基] ralom  ->  r + a + lom
[4基] ramshy  ->  r + a + m + shy
[3基] raraiiin  ->  r + a + raiiin
[3基] raraiin  ->  r + a + raiin
